,std,name
365,KR7389260001,대명에너지
366,KR7317850006,대모
367,KR7290670009,대보마그네틱
368,KR7078140001,대봉엘에스
369,KR7065150005,대산F&B
370,KR7001681006,대상우
371,KR7001680008,대상
372,KR7084691005,대상홀딩스우
373,KR7084690007,대상홀딩스
374,KR7036480002,대성미생물
375,KR7128820008,대성산업
376,KR7117580001,대성에너지
377,KR7027830009,대성창투
378,KR7104040001,대성파인텍
379,KR7129920005,대성하이텍
380,KR7016710006,대성홀딩스
381,KR7442310009,대신밸런스제14호스팩
382,KR7457390003,대신밸런스제15호스팩
383,KR7457630002,대신밸런스제16호스팩
384,KR7471050005,대신밸런스제17호스팩
385,KR7478780000,대신밸런스제18호스팩
386,KR7482690005,대신밸런스제19호스팩
387,KR7020180006,대신정보통신
388,KR7003541000,대신증권우
389,KR7003542008,대신증권2우B
390,KR7003540002,대신증권
391,KR7045390002,대아티아이
392,KR7009190000,대양금속
393,KR7108380007,대양전기공업
394,KR7014160006,대영포장
395,KR7047040001,대우건설
396,KR7003090008,대웅
397,KR7069620003,대웅제약
398,KR7007680002,대원
399,KR7000430009,대원강업
400,KR7048910004,대원미디어
401,KR7005710009,대원산업
402,KR7006341002,대원전선우
403,KR7006340004,대원전선
404,KR7003220001,대원제약
405,KR7024890006,대원화성
406,KR7290380005,대유
407,KR7002880003,대유에이텍
408,KR7120240007,대정화금
409,KR7003310000,대주산업
410,KR7114920002,대주이엔티
411,KR7078600004,대주전자재료
412,KR7393970009,대진첨단소재
413,KR7015230006,대창단조
414,KR7012800009,대창
415,KR7096350004,대창솔루션
416,KR7140520008,대창스틸
417,KR7131220006,대한과학
418,KR7010170009,대한광통신
419,KR7054670005,대한뉴팜
420,KR7001070002,대한방직
421,KR7023910003,대한약품
422,KR7006650006,대한유화
423,KR7001440007,대한전선
424,KR7084010008,대한제강
425,KR7001791003,대한제당우
426,KR7001790005,대한제당
427,KR7001130004,대한제분
428,KR7003491008,대한항공우
429,KR7003490000,대한항공
430,KR7005880000,대한해운
431,KR7003830007,대한화섬
432,KR7016090003,대현
433,KR7069460004,대호에이엘
434,KR7021040001,대호특수강
435,KR7021041009,대호특수강우
436,KR7067080002,대화제약
437,KR7043090000,더테크놀로지
438,KR7298540006,더네이쳐홀딩스
439,KR7032860009,더라미
440,KR7475560009,더본코리아
441,KR7192080000,더블유게임즈
442,KR7393890009,더블유씨피
443,KR7299170001,더블유에스아이
444,KR7089230007,THE E&M
445,KR7012510004,더존비즈온
446,KR7462860008,더즌
447,KR7224060004,더코디
448,KR7302920004,더콘텐츠온
449,KR7213420003,덕산네오룩스
450,KR7317330009,덕산테코피아
451,KR7077360006,덕산하이메탈
452,KR7004831004,덕성우
453,KR7004830006,덕성
454,KR7090410002,덕신이피씨
455,KR7024900003,덕양산업
456,KR7263600009,덕우전자
457,KR7194480000,데브시스터즈
458,KR7373160001,데이원컴퍼니
459,KR7263800005,데이타솔루션
460,KR7199150004,데이터스트림즈
461,KR7206560005,덱스터
462,KR7261200000,덴티스
463,KR7145720009,덴티움
464,KR7227420007,도부
465,KR7067990002,도이치모터스
466,KR7002150001,도화엔지니어링
467,KR7006620009,동구바이오제약
468,KR7005160007,동국산업
469,KR7303810006,동국생명과학
470,KR7460850001,동국씨엠
471,KR7075970004,동국알앤에스
472,KR7100130004,동국S&C
473,KR7460860000,동국제강
474,KR7086450004,동국제약
475,KR7001230002,동국홀딩스
476,KR7240550004,동방메디컬
477,KR7004140000,동방
478,KR7099410003,동방선기
479,KR7007590003,동방아그로
480,KR7005961008,동부건설우
481,KR7005960000,동부건설
482,KR7026960005,동서
483,KR7002210003,동성제약
484,KR7102260007,동성케미컬
485,KR7033500000,동성화인텍
486,KR7025950007,동신건설
487,KR7000640003,동아쏘시오홀딩스
488,KR7170900005,동아에스티
489,KR7088130000,동아엘텍
490,KR7028100006,동아지질
491,KR7041930009,동아화성
492,KR7001521004,동양우
493,KR7001522002,동양2우B
494,KR7084670009,동양고속
495,KR7001520006,동양
496,KR7082640004,동양생명
497,KR7060380003,동양에스텍
498,KR7079960001,동양이엔피
499,KR7008970006,동양철관
500,KR7228340006,동양파일
501,KR7092780006,동양피스톤
502,KR7088910005,동우팜투테이블
503,KR7094170008,동운아나텍
504,KR7049770001,동원F&B
505,KR7013120001,동원개발
506,KR7018500009,동원금속
507,KR7006040000,동원산업
508,KR7030720007,동원수산
509,KR7014821003,동원시스템즈우
510,KR7014820005,동원시스템즈
511,KR7111380002,동인기연
512,KR7163560006,동일고무벨트
513,KR7109860007,동일금속
514,KR7032960007,동일기연
515,KR7004890000,동일산업
516,KR7023790009,동일스틸럭스
517,KR7002690006,동일제강
518,KR7005290002,동진쎄미켐
519,KR7025900002,동화기업
520,KR7000020008,동화약품
521,KR7000151001,두산우
522,KR7000152009,두산2우B
523,KR7454910001,두산로보틱스
524,KR7241560002,두산밥캣
525,KR7000150003,두산
526,KR7034020008,두산에너빌리티
527,KR7131970006,두산테스나
528,KR733626K013,두산퓨얼셀1우
529,KR733626K021,두산퓨얼셀2우B
530,KR7336260005,두산퓨얼셀
531,KR7016740003,두올
532,KR7073190001,듀오백
533,KR7176750008,듀켐바이오
534,KR7030350003,드래곤플라이
535,KR7203650007,드림시큐리티
536,KR7223250002,드림씨아이에스
537,KR7060570009,드림어스컴퍼니
538,KR7362990004,드림인사이트
539,KR7192650000,드림텍
540,KR7016670002,디모아
541,KR7187870001,디바이스이엔지
542,KR7456440007,DB금융스팩11호
543,KR7477760003,DB금융스팩12호
544,KR7489730002,디비금융제13호스팩
545,KR7024090003,디씨엠
546,KR7003160009,디아이
547,KR7092200005,디아이씨
548,KR7110990009,디아이티
549,KR7004840005,DRB동일
550,KR7263690000,디알젬
551,KR7214680001,디알텍
552,KR7347850000,디앤디파마텍
553,KR7377190004,디앤디플랫폼리츠
554,KR7263720005,디앤씨미디어
555,KR7376300000,디어유
556,KR7241520006,DSC인베스트먼트
557,KR7109740001,디에스케이
558,KR7031860000,디에이치엑스컴퍼니
559,KR7000300004,DH오토넥스
560,KR7290120005,DH오토리드
561,KR7025440009,DH오토웨어
562,KR7196490007,디에이테크놀로지
563,KR7066900002,디에이피
564,KR7180400004,DXVX
565,KR7127120004,디엔에이링크
566,KR7092070002,디엔에프
567,KR7007340003,DN오토모티브
568,KR7068790005,DMS
569,KR7039840004,디오
570,KR7219550001,디와이디
571,KR7013570007,디와이
572,KR7310870001,디와이씨
573,KR7210540001,디와이파워
574,KR7104460001,디와이피엔에프
575,KR7079810008,디이엔티
576,KR7113810006,디젠스
577,KR7043360007,디지아이
578,KR7099520009,DGI
579,KR7197140007,디지캡
580,KR7068930007,디지털대성
581,KR7033130006,디지틀조선
582,KR7060900008,DGP
